
S1,ALL,Shapes,Hollow,Demo1,1.png,N,F,ALL,None,"hollow, dish, banana,"
C3,Floor,Cartwheel Progressions,Over a Mat with Foam Block,Demo1,8.png,N,F,I,"Panel Mat, Foam Block","blocks, cartwheel, panel mat, lever, lunge, "
F2,Floor,Forward Salto Progression,Forward Roll on Tumble Track,Demo1,10.png,N,F,AB I,"Tumble Track, Wedge Mat","forward salto, set, tuck"
M1,Strength,Beam Strength,Sit Ups,Demo1,20.png,F,F,AB I,Beam,"beam strength, sit ups, candle"
FS4,Floor,Dive Roll,Drive Roll,Demo2,1.png,N,M,"AB, I","8 incher, Soft Mat","Dive Roll, Punch"
ER1,Floor,Endo Roll,Endo Roll on Mat,Demo2,2.png,N,M,I A,Panel Mat,"Forward Roll, Endo, Straddle, Press, Presshandstand, Stalder, Cast Handstand"
W4,Floor,Walkovers,Front Walkover Over a Barrel,Demo1,5.png,F,F,AB I,"Barrel, elevated surface","walkover, split handstand, barrel, "
T3,Tramp,Tramp,Seatdrop,Demo1,19.png,N,F,B AB,Trampoline,"pike sit, seat, bottom"
T0,Tramp,Tramp,Safety Fall,Demo1,18.png,N,F,B I,"Trampoline, soft mat","safety, hollow "
H5,Floor,Handstand,Half Handstand,Demo1,3.png,N,F,B AB I,Pacman/tall block/resi,"L handstand, pike handstand, handstand, "
H13,Floor,Handstand,Handstand Forward Roll Drill,Demo1,7.png,N,F,AB I,Wedge/Tall Panel Mat,"handstand, forward roll, candle, straight arm"
B47,Uneven Bars,Bars,Partner Assisted Tuck Hang,Demo1,12.png,N,F,AB I,"High Bar, Foam Block","hang, tuck, foam block, partner"
R6,Floor,Round Off Progression,Off A Spring Board,Demo1,9.png,N,F,I,"Panel Mat, Junior Board","round off, junior board, blocking, snap up, rebound, hollow, hurdle, lunge, lever"
BB11,Beam,Beam,Split Handstand Hold Drill,Demo1,15.png,F,F,I A,"Floor Beam Resi, Pacman/Wall","split handstand, handstand, w hands, "
B41A,Uneven Bars,Bars,Glide Swing with Slider,Demo1,11.png,N,F,AB I,"Low Bar, slider","glide swing, slider, c shape, "
S30,ALL,Shapes,Open Shoulder Drill,Demo1,2.png,N,F,ALL,Stick/Band,"shoulder flexibility, "
BB19,Beam,Beam,Kneeling Mount,Demo1,14.png,F,F,I,Beam,"mount, knees, knealing, front support"
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto, mailbox, "
V4A,Vault,Vault,Handstand Flatback,Demo1,16.png,F,F,AB I,"Tumble Track, 4-8 Incher","Handstand, hollow, "
V12,Vault,Vault,Arms Cirlces on Board,Demo1,17.png,N,F,AB I,Board,"backward arm circles, stretch jump, hollow"
HS5,Floor,Handsprings,Jump Fly Back,Demo1,6.png,N,F,AB I,"Mini Tramp Table Trainer, 2 incher","backhandspring, round off, rebound, arch"
BL5,Beam,Block Drills on Beam,Side Cartwheel Handstand,Demo1,13.png,F,F,I,"Beam, Foam Block","foam block, lunge, lever, neutral hands "
