aanubhsfasdfkjhasdkfjhadlksjf_Plan.csv
HS5,Floor,Handsprings,Jump Fly Back,Demo1,6.png,N,F,AB I,"Mini Tramp Table Trainer,2 incher"
T3,Tramp,Tramp,Seatdrop,Demo1,19.png,N,F,B AB,Trampoline,"pike sit
S30,ALL,Shapes,Open Shoulder Drill,Demo1,2.png,N,F,ALL,Stick/Band,"shoulder flexibility
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto
C3,Floor,Cartwheel Progressions,Over a Mat with Foam Block,Demo1,8.png,N,F,I,"Panel Mat,Foam Block"
BB11,Beam,Beam,Split Handstand Hold Drill,Demo1,15.png,F,F,I A,"Floor Beam Resi,Pacman/Wall"
B41A,Uneven Bars,Bars,Glide Swing with Slider,Demo1,11.png,N,F,AB I,"Low Bar,slider"
HS5,Floor,Handsprings,Jump Fly Back,Demo1,6.png,N,F,AB I,"Mini Tramp Table Trainer,2 incher"
BB19,Beam,Beam,Kneeling Mount,Demo1,14.png,F,F,I,Beam,"mount
C3,Floor,Cartwheel Progressions,Over a Mat with Foam Block,Demo1,8.png,N,F,I,"Panel Mat,Foam Block"
T0,Tramp,Tramp,Safety Fall,Demo1,18.png,N,F,B I,"Trampoline,soft mat"
